hgb_code,statement,level,parent_code,name_de,name_en,pnl_format,is_subtotal,ukv_allocation_required
BS-P.C.3,BS,3,BS-P.C,3. Erhaltene Anzahlungen auf Bestellungen,Advance payments received,BS,False,False
BS-P.C.4,BS,3,BS-P.C,4. Verbindlichkeiten aus Lieferungen und Leistungen,Trade payables,BS,False,False
BS-P.C.5,BS,3,BS-P.C,5. Verbindlichkeiten aus Wechseln (Akzepten),Bills of exchange payable,BS,False,False
BS-P.C.6,BS,3,BS-P.C,6. Verbindlichkeiten gegenüber verbundenen Unternehmen,Liabilities to affiliated companies,BS,False,False
BS-P.C.7,BS,3,BS-P.C,7. Verbindlichkeiten gegenüber Unternehmen mit Beteiligung,Liabilities to participating companies,BS,False,False
BS-P.C.8,BS,3,BS-P.C,8. Sonstige Verbindlichkeiten,Other liabilities,BS,False,False
BS-P.D,BS,2,BS-P,D. Rechnungsabgrenzungsposten (passiv),Deferred income,BS,False,False
BS-P.E,BS,2,BS-P,E. Passive latente Steuern,Deferred tax liabilities,BS,False,False
BS-P.SOPO,BS,2,BS-P,Sonderposten mit Rücklageanteil (steuerlich),Special items with reserve component,BS,False,False
PL_GKV-1,PL_GKV,1,,1. Umsatzerlöse,Revenue,GKV,False,False
PL_GKV-2,PL_GKV,1,,2. Bestandsveränderungen fertige/unfertige Erzeugnisse,Change in inventories of finished/unfinished goods,GKV,False,False
PL_GKV-3,PL_GKV,1,,3. Andere aktivierte Eigenleistungen,Capitalised own work,GKV,False,False
PL_GKV-4,PL_GKV,1,,4. Sonstige betriebliche Erträge,Other operating income,GKV,False,False
PL_GKV-5a,PL_GKV,1,,"5a. Aufwendungen Roh-, Hilfs-, Betriebsstoffe & bezogene Waren",Cost of materials,GKV,False,False
PL_GKV-5b,PL_GKV,1,,5b. Aufwendungen für bezogene Leistungen,Cost of purchased services,GKV,False,False
PL_GKV-6a,PL_GKV,1,,6a. Löhne und Gehälter,Wages and salaries,GKV,False,False
PL_GKV-6b,PL_GKV,1,,6b. Soziale Abgaben und Aufwendungen für Altersversorgung,Social security and pension expenses,GKV,False,False
PL_GKV-7a,PL_GKV,1,,7a. Abschreibungen auf immaterielle / Sachanlagen,Depreciation/amortisation,GKV,False,False
PL_GKV-7b,PL_GKV,1,,7b. Abschreibungen Umlaufvermögen (außerplanmäßig),Impairment of current assets,GKV,False,False
PL_GKV-8,PL_GKV,1,,8. Sonstige betriebliche Aufwendungen,Other operating expenses,GKV,False,False
PL_GKV-9,PL_GKV,1,,9. Erträge aus Beteiligungen,Income from participations,GKV,False,False
PL_GKV-10,PL_GKV,1,,10. Erträge aus anderen Wertpapieren und Ausleihungen FA,Income from other securities and loans,GKV,False,False
PL_GKV-11,PL_GKV,1,,11. Sonstige Zinsen und ähnliche Erträge,Other interest and similar income,GKV,False,False
PL_GKV-12,PL_GKV,1,,12. Abschreibungen auf Finanzanlagen,Depreciation on financial assets,GKV,False,False
PL_GKV-13,PL_GKV,1,,13. Zinsen und ähnliche Aufwendungen,Interest and similar expenses,GKV,False,False
PL_GKV-14,PL_GKV,1,,14. Steuern vom Einkommen und vom Ertrag,Taxes on income,GKV,False,False
PL_GKV-15,PL_GKV,1,,15. Ergebnis nach Steuern,Result after taxes,GKV,True,False
PL_GKV-16,PL_GKV,1,,16. Sonstige Steuern,Other taxes,GKV,False,False
PL_GKV-17,PL_GKV,1,,17. Jahresüberschuss / Jahresfehlbetrag,Net income for the year,GKV,True,False
PL_UKV-1,PL_UKV,1,,1. Umsatzerlöse,Revenue,UKV,False,False
PL_UKV-2,PL_UKV,1,,2. Herstellungskosten der Umsatzerlöse,Cost of goods sold (COGS),UKV,False,True
PL_UKV-3,PL_UKV,1,,3. Bruttoergebnis vom Umsatz,Gross profit,UKV,True,False
PL_UKV-4,PL_UKV,1,,4. Vertriebskosten,Selling expenses,UKV,False,True
PL_UKV-5,PL_UKV,1,,5. Allgemeine Verwaltungskosten,General and administrative expenses,UKV,False,True
PL_UKV-6,PL_UKV,1,,6. Sonstige betriebliche Erträge,Other operating income,UKV,False,False
PL_UKV-7,PL_UKV,1,,7. Sonstige betriebliche Aufwendungen,Other operating expenses,UKV,False,False
PL_UKV-8,PL_UKV,1,,8. Erträge aus Beteiligungen,Income from participations,UKV,False,False
PL_UKV-9,PL_UKV,1,,9. Erträge aus anderen Wertpapieren und Ausleihungen FA,Income from other securities and loans,UKV,False,False
PL_UKV-10,PL_UKV,1,,10. Sonstige Zinsen und ähnliche Erträge,Other interest and similar income,UKV,False,False
PL_UKV-11,PL_UKV,1,,11. Abschreibungen auf Finanzanlagen,Depreciation on financial assets,UKV,False,False
PL_UKV-12,PL_UKV,1,,12. Zinsen und ähnliche Aufwendungen,Interest and similar expenses,UKV,False,False
PL_UKV-13,PL_UKV,1,,13. Steuern vom Einkommen und vom Ertrag,Taxes on income,UKV,False,False
PL_UKV-14,PL_UKV,1,,14. Ergebnis nach Steuern,Result after taxes,UKV,True,False
PL_UKV-15,PL_UKV,1,,15. Sonstige Steuern,Other taxes,UKV,False,False
PL_UKV-16,PL_UKV,1,,16. Jahresüberschuss / Jahresfehlbetrag,Net income for the year,UKV,True,False
STAT,STAT,1,,Statistische / Vortragskonten (nicht im Jahresabschluss),Statistical / carry-forward accounts,STAT,False,False
